date,dailyCases,dailyHosp,dailyDeaths,dailyInfectionsPer100K,pOver60,dailyDischarges,pReinf
25-Jan-2022,25,1,0,NaN,0.0777027027027027,1,0
26-Jan-2022,62,2,0,NaN,0.0774487471526196,0,0
27-Jan-2022,109,2,0,NaN,0.0827067669172932,0,0
28-Jan-2022,100,1,0,NaN,0.0868217054263566,1,0
29-Jan-2022,143,1,0,NaN,0.0814419225634179,0,0
30-Jan-2022,93,3,0,NaN,0.0795724465558195,2,0
31-Jan-2022,113,2,0,NaN,0.0761316872427984,1,0
01-Feb-2022,129,5,0,NaN,0.0692446043165468,0,0
02-Feb-2022,155,6,0,NaN,0.0644599303135889,2,0
03-Feb-2022,239,11,0,NaN,0.0600315955766193,6,0
04-Feb-2022,240,6,0,NaN,0.0594633792603336,2,0.000725163161711385
05-Feb-2022,179,4,0,NaN,0.0632102272727273,4,0.000710227272727273
06-Feb-2022,211,1,0,28.5714285714286,0.0617136009586579,2,0.000599161174355902
07-Feb-2022,226,3,0,NaN,0.0602345415778252,1,0.000533049040511727
08-Feb-2022,158,8,0,NaN,0.0602094240837696,0,0.00043630017452007
09-Feb-2022,416,7,0,NaN,0.0631653655074521,8,0.00106458481192335
10-Feb-2022,446,19,0,NaN,0.064693317058285,8,0.00122062862374123
11-Feb-2022,656,14,0,NaN,0.0638017400474558,8,0.00105457421566043
12-Feb-2022,705,14,0,NaN,0.0595585172844648,14,0.00187421907538526
13-Feb-2022,670,13,0,114.285714285714,0.0559959520998482,12,0.00185528756957328
14-Feb-2022,742,18,0,NaN,0.0536876355748373,10,0.00176247288503254
15-Feb-2022,1167,21,0,NaN,0.0538915094339623,18,0.0017688679245283
16-Feb-2022,1543,23,0,NaN,0.0527391262041452,12,0.00175148389607862
17-Feb-2022,1893,26,0,NaN,0.0533515731874145,20,0.00179548563611491
18-Feb-2022,1760,31,1,NaN,0.0503263234227701,20,0.00159535895576505
19-Feb-2022,2502,42,1,NaN,0.0506384303955154,28,0.00130800373715353
20-Feb-2022,2089,54,1,571.428571428571,0.0504738694828053,33,0.00146222583265638
21-Feb-2022,2836,58,0,NaN,0.0486405246618391,44,0.00127521974768866
22-Feb-2022,3432,72,1,NaN,0.0456924632146467,53,0.00143771762327305
23-Feb-2022,3953,104,2,NaN,0.0463600343272409,80,0.00144247448280899
24-Feb-2022,5385,91,3,NaN,0.0465724907063197,66,0.00154646840148699
25-Feb-2022,24318,85,3,NaN,0.047864200899159,88,0.00156581772458215
26-Feb-2022,12754,60,3,NaN,0.0501527568983075,55,0.00157121381116338
27-Feb-2022,14572,65,2,928.571428571429,0.0510632035906114,54,0.00157784154546718
28-Feb-2022,19887,70,1,NaN,0.0533387826510931,66,0.00163479532792704
01-Mar-2022,22236,99,1,NaN,0.0568601553580623,58,0.00164909374463671
02-Mar-2022,23167,89,4,NaN,0.0586390809987106,76,0.00167037861915367
03-Mar-2022,22533,102,2,NaN,0.060453906406909,82,0.00155653745732075
04-Mar-2022,18864,95,6,NaN,0.0633274077172435,75,0.00149883230506466
05-Mar-2022,15237,89,3,NaN,0.0649676031930516,68,0.00146846965974653
06-Mar-2022,17488,104,3,700,0.0669040704863245,60,0.0014060523842833
07-Mar-2022,23920,97,3,NaN,0.0702360720355322,108,0.00131389154682167
08-Mar-2022,22478,110,2,NaN,0.0720637643863035,91,0.00127957681035099
09-Mar-2022,21011,94,7,NaN,0.0737690782098819,89,0.00121439452732028
10-Mar-2022,21044,113,10,NaN,0.0750830613196549,97,0.00120948939146654
11-Mar-2022,18712,103,9,NaN,0.0767105019448046,106,0.00125208371920726
12-Mar-2022,14511,86,5,NaN,0.0780968255170846,78,0.00130312902492613
13-Mar-2022,15572,115,3,542.857142857143,0.0803544757542567,81,0.00129443393408344
14-Mar-2022,21647,98,10,NaN,0.0800815191633227,92,0.00127176214098392
15-Mar-2022,19493,122,16,NaN,0.0811373317568552,120,0.00120665360133461
16-Mar-2022,19580,89,10,NaN,0.0803110949484264,104,0.00117363131446707
17-Mar-2022,17081,96,7,NaN,0.0804270759477833,89,0.00120115110314051
18-Mar-2022,15598,86,7,NaN,0.0796633917559506,92,0.00119138511104213
19-Mar-2022,12021,69,13,NaN,0.0802563931361421,59,0.00111003538759431
20-Mar-2022,14465,78,9,428.571428571429,0.0806844317885035,56,0.00116262416067803
21-Mar-2022,20951,106,8,NaN,0.080732024809209,86,0.00121663816500336
22-Mar-2022,20120,84,10,NaN,0.0808767170477544,115,0.00122292554794815
23-Mar-2022,18461,86,24,NaN,0.0820610687022901,96,0.00127226463104326
24-Mar-2022,15921,83,20,NaN,0.0826514419454073,103,0.00125001108165853
25-Mar-2022,14176,79,12,NaN,0.0848673288758037,112,0.00125654642342863
26-Mar-2022,10662,51,13,NaN,0.085924612142537,52,0.00137311554195154
27-Mar-2022,12508,65,13,351.270711217386,0.087268186198352,43,0.00170111506617633
28-Mar-2022,17181,87,17,NaN,0.0888418932527694,95,0.00187311178247734
29-Mar-2022,15962,74,11,NaN,0.0896833186960789,93,0.00220075424910885
30-Mar-2022,15288,78,19,NaN,0.0907281420477284,84,0.0022958485161236
31-Mar-2022,13523,57,16,NaN,0.0919369106954064,81,0.00252443523852677
01-Apr-2022,11661,65,13,NaN,0.0931427743280454,85,0.00304344433172428
02-Apr-2022,8831,54,8,NaN,0.0951129734234651,41,0.00357672006667284
03-Apr-2022,10248,55,17,282.417100842382,0.0970352031882133,34,0.00391280719763299
04-Apr-2022,14188,86,14,NaN,0.099712368168744,84,0.0045163243679669
05-Apr-2022,12653,63,11,NaN,0.10199285826813,85,0.00481804337551856
06-Apr-2022,11701,56,9,NaN,0.102720500917629,87,0.00523588470258016
07-Apr-2022,9986,53,4,NaN,0.103366292323399,62,0.00574801057298295
08-Apr-2022,8565,53,12,NaN,0.105661975121182,62,0.00678911405711616
09-Apr-2022,6763,51,15,NaN,0.107267388511654,44,0.00712668991252218
10-Apr-2022,7647,45,14,243.946262715613,0.108399115882539,37,0.00751499842121882
11-Apr-2022,11177,59,10,NaN,0.109602248586463,59,0.00772951596561754
12-Apr-2022,9549,64,15,NaN,0.109657310201915,71,0.0079121782466476
13-Apr-2022,9653,58,14,NaN,0.112370865526521,64,0.00786526608212518
14-Apr-2022,7840,49,9,NaN,0.115819610911548,60,0.00787779635096205
15-Apr-2022,5762,36,15,NaN,0.11775487683992,40,0.00783660949744702
16-Apr-2022,5967,49,14,NaN,0.121560463432295,37,0.00832729905865315
