date,dailyCases,dailyHosp,dailyDeaths,dailyInfectionsPer100K,pOver60,dailyDischarges,pReinf
25-Jan-2022 00:00:00,25,1,0,NaN,0.0777027027027027,1,0
26-Jan-2022 00:00:00,62,2,0,NaN,0.0774487471526196,0,0
27-Jan-2022 00:00:00,109,2,0,NaN,0.0827067669172932,0,0
28-Jan-2022 00:00:00,100,2,0,NaN,0.086687306501548,1,0
29-Jan-2022 00:00:00,143,1,0,NaN,0.0825565912117177,0,0
30-Jan-2022 00:00:00,93,3,0,NaN,0.0805687203791469,2,0
31-Jan-2022 00:00:00,114,2,0,NaN,0.0770020533880904,1,0
01-Feb-2022 00:00:00,130,5,0,NaN,0.0700179533213645,0,0
02-Feb-2022 00:00:00,155,6,0,NaN,0.0652173913043478,2,0
03-Feb-2022 00:00:00,239,11,0,NaN,0.0607255520504732,6,0
04-Feb-2022 00:00:00,240,6,0,NaN,0.0601449275362319,2,0.00072463768115942
05-Feb-2022 00:00:00,179,4,0,NaN,0.0632102272727273,4,0.000710227272727273
06-Feb-2022 00:00:00,211,1,0,28.5714285714286,0.0616028708133971,2,0.000598086124401914
07-Feb-2022 00:00:00,226,3,0,NaN,0.0601063829787234,2,0.000531914893617021
08-Feb-2022 00:00:00,158,8,0,NaN,0.0600783630822812,0,0.00043535045711798
09-Feb-2022 00:00:00,419,7,0,NaN,0.0630311614730878,8,0.00106232294617564
10-Feb-2022 00:00:00,447,20,0,NaN,0.0645750837648492,8,0.00121839780688395
11-Feb-2022 00:00:00,657,14,0,NaN,0.0637009739405106,9,0.00105290866017373
12-Feb-2022 00:00:00,706,14,0,NaN,0.0594841930116473,14,0.00187188019966722
13-Feb-2022 00:00:00,670,13,0,114.285714285714,0.0559676331759946,12,0.00185434929197572
14-Feb-2022 00:00:00,742,18,0,NaN,0.0536730821360802,10,0.0017619951206289
15-Feb-2022 00:00:00,1167,22,0,NaN,0.0538788021692997,18,0.00176845083706673
16-Feb-2022 00:00:00,1543,23,0,NaN,0.0527339949406499,12,0.00175131348511384
17-Feb-2022 00:00:00,1893,28,0,NaN,0.0533424517011455,20,0.00179517866301932
18-Feb-2022 00:00:00,1761,30,0,NaN,0.0503190255220418,20,0.00159512761020882
19-Feb-2022 00:00:00,2502,41,1,NaN,0.0506321230615931,28,0.00130784081708912
20-Feb-2022 00:00:00,2090,54,1,571.428571428571,0.0504629378959337,32,0.00146190914505387
21-Feb-2022 00:00:00,2836,58,0,NaN,0.0486316652247165,44,0.00127498747780156
22-Feb-2022 00:00:00,3432,72,1,NaN,0.0456893840693652,52,0.00143762073767914
23-Feb-2022 00:00:00,3955,102,2,NaN,0.0463583413975059,80,0.00144242180795706
24-Feb-2022 00:00:00,5385,93,2,NaN,0.0465717981888745,65,0.00154644540601627
25-Feb-2022 00:00:00,24318,82,3,NaN,0.0478743594609983,86,0.00156576200417537
26-Feb-2022 00:00:00,12753,60,3,NaN,0.0501609962369554,55,0.00157116809558909
