date,cumul_doses_admin_50-54,cumul_doses_admin_55-59,cumul_doses_admin_60-64,cumul_doses_admin_65-69,cumul_doses_admin_70-74,cumul_doses_admin_75+
2022-06-27,315,449,686,702,1116,977
2022-06-28,578,848,1099,1303,2090,2371
2022-06-29,841,1249,1512,2203,3752,4871
2022-06-30,1051,1601,2269,3002,5131,6671
2022-07-01,1315,2205,3234,4197,6366,8742
2022-07-02,1474,2557,3580,5787,7869,9981
2022-07-03,1684,2861,3925,6776,8821,11354
2022-07-04,2002,3267,4685,7567,9908,12999
2022-07-05,2214,3673,5100,8259,10854,14230
2022-07-06,2744,4131,6000,9539,12336,18042
2022-07-07,3063,4489,7249,11795,14077,21967
2022-07-08,3382,5052,8013,12968,16206,25731
2022-07-09,3648,5771,8918,14528,18715,29872
2022-07-10,4181,6390,9475,15305,20157,33586
2022-07-11,4502,7167,10661,17533,22112,37671
2022-07-12,5091,7999,11778,19654,24440,43678
2022-07-13,5682,8887,13459,22051,27131,48207
2022-07-14,6220,9832,14862,23865,29164,53848
2022-07-15,6976,10571,16621,26144,31432,57152
2022-07-16,7463,11313,17748,27752,33930,60312
2022-07-17,7679,12430,18736,29917,35911,63452
2022-07-18,8276,13018,20576,31604,39461,68685
2022-07-19,9147,13931,22421,34028,42000,73863
2022-07-20,9966,14848,23986,36623,45345,77286
2022-07-21,10515,16149,25626,38558,48876,81532
2022-07-22,11009,17405,27198,40941,50968,85382
2022-07-23,11614,18502,28989,42583,52698,90031
2022-07-24,12441,19552,30354,44308,54981,94869
2022-07-25,13106,20661,32225,46657,57578,98960
2022-07-26,14384,22338,34246,48185,60697,103243
2022-07-27,15388,23519,35693,49975,62238,108169
2022-07-28,16172,24650,37869,51846,64745,112476
2022-07-29,16902,26073,40198,53706,66577,116292
2022-07-30,17974,27159,42096,55998,68817,119741
2022-07-31,18765,27906,43486,57401,70819,123051
2022-08-01,19332,29003,44878,59756,72073,126116
2022-08-02,20071,30163,46495,61837,74761,129590
2022-08-03,21098,31504,47451,63991,77709,133247
2022-08-04,22014,33030,48630,65705,79813,136338
2022-08-05,23106,34269,50698,67581,81792,139088
2022-08-06,24029,34982,52475,69532,82675,142445
2022-08-07,25129,36470,54183,71387,83844,145771
2022-08-08,26291,37488,55819,72980,86252,148348
2022-08-09,27342,38932,58058,74733,88434,152329
2022-08-10,28396,40264,59029,76394,90026,154252
2022-08-11,29220,42397,60976,78211,91417,156766
2022-08-12,30814,43871,63155,80427,93250,159956
2022-08-13,32297,45663,64434,82546,95059,162820
2022-08-14,33849,46844,66244,84006,96132,167117
2022-08-15,35588,47842,68437,85779,97639,168955
2022-08-16,36915,48970,70485,87784,99214,171357
2022-08-17,38005,50861,72690,89853,100340,173549
2022-08-18,39709,52384,75360,91751,102223,176290
2022-08-19,41054,54235,77196,93088,103489,179751
2022-08-20,42589,55905,79267,95433,106063,183079
2022-08-21,44195,57715,80958,97217,107855,186094
2022-08-22,45497,59863,82653,99221,109618,188807
2022-08-23,46930,61305,84584,100601,110961,190958
2022-08-24,48558,62622,86441,102201,112363,193976
2022-08-25,49563,64740,88770,103792,113516,197044
2022-08-26,51014,65939,89936,105524,115559,200249
2022-08-27,52408,67345,91650,107766,117264,202220
2022-08-28,54064,69429,93134,109547,119008,204683
2022-08-29,55534,71122,95559,111094,120153,207120
2022-08-30,56754,72961,96970,112048,121141,208620
2022-08-31,58561,74398,98778,113363,122187,209945
2022-09-01,60311,75911,100590,114380,123832,213061
2022-09-02,61549,77638,102405,115899,124775,215248
2022-09-03,62594,79167,103987,117193,126037,217413
2022-09-04,64365,80143,105254,118979,127664,219636
2022-09-05,66277,81403,106525,120328,128749,221287
2022-09-06,67934,82949,108910,121739,129567,223002
2022-09-07,69398,84644,111063,122583,130682,224625
2022-09-08,70667,86134,111782,123422,131294,226236
2022-09-09,72479,87131,113061,124677,132200,227530
2022-09-10,73354,88059,114663,125924,133327,229041
2022-09-11,74976,89422,116268,127027,134029,230764
2022-09-12,76944,90933,117393,128193,134491,232323
2022-09-13,78239,92450,118438,129081,135064,233575
2022-09-14,79608,93612,119728,129965,135461,234892
2022-09-15,80913,95506,120616,131115,136024,235981
2022-09-16,82497,97118,122393,131991,136690,237063
2022-09-17,83950,98441,123445,132864,137458,238282
2022-09-18,85338,99991,124337,133999,137891,239847
2022-09-19,86663,101176,125716,134664,138320,240835
2022-09-20,87640,101994,126528,135525,138480,241537
2022-09-21,89042,103111,127178,136317,138798,242375
2022-09-22,90590,105056,127993,136909,139271,243209
2022-09-23,91648,106032,128888,137761,139688,244177
2022-09-24,92922,106785,129785,138349,140101,245138
2022-09-25,93915,107992,130437,139324,140561,245890
2022-09-26,95053,109204,131255,139584,141016,246841
2022-09-27,96267,110572,132562,139908,141266,247516
2022-09-28,97769,111409,134037,140812,141416,248390
2022-09-29,98703,112173,135102,141711,141911,249525
2022-09-30,100070,112707,135759,142352,142156,250123
2022-10-01,101225,113397,136334,142990,142400,250388
2022-10-02,102673,114624,137814,143372,142449,251112
2022-10-03,103472,116011,138473,143879,142787,251572
2022-10-04,103691,117635,139461,144386,142930,252096
2022-10-05,104491,118644,140370,145080,143169,252748
2022-10-06,105366,119810,141195,145521,143502,253590
2022-10-07,106388,120980,142269,146086,143643,254428
2022-10-08,107488,121605,143262,146461,144063,254749
2022-10-09,108442,123095,144173,147148,144202,255452
2022-10-10,109325,123880,144754,147708,144433,256024
2022-10-11,110431,124668,145832,148142,144479,256342
2022-10-12,111096,125219,146580,148513,144617,256658
2022-10-13,111762,125773,147328,148700,144708,256910
2022-10-14,112429,126169,147827,149070,144981,257414
2022-10-15,113022,126802,148493,149439,145296,257853
2022-10-16,113617,127673,149077,149808,145386,258540
2022-10-17,114213,128468,149409,150237,145475,258975
2022-10-18,114883,129345,149743,150298,145609,259347
2022-10-19,115480,129983,150410,150727,145874,259717
2022-10-20,116152,131022,150827,150910,146181,260210
2022-10-21,116676,131742,151412,151337,146355,260333
2022-10-22,117576,132223,152080,151519,146571,260640
2022-10-23,118326,132624,152582,151641,146872,261006
2022-10-24,118551,133107,152833,151884,146957,261555
2022-10-25,118928,133670,153084,152127,147169,262040
2022-10-26,119605,134234,153335,152308,147295,262343
2022-10-27,120057,134637,153837,152610,147337,262584
2022-10-28,120510,135284,154256,152671,147547,263005
2022-10-29,121038,136012,154842,152852,147589,263125
2022-10-30,121870,136335,155346,153033,147672,263245
2022-10-31,122249,136821,155682,153093,147755,263305
2022-11-01,122704,136984,156185,153274,147837,263425
2022-11-02,123387,137390,156437,153695,147920,263664
2022-11-03,124299,138040,156857,153875,148043,264022
2022-11-04,124984,138365,157361,154115,148084,264498
2022-11-05,125213,138854,157866,154354,148125,264556
2022-11-06,125823,139260,158791,154653,148247,264675
2022-11-07,126359,139668,159212,154773,148329,264793
2022-11-08,126817,139995,159548,155011,148409,264793
2022-11-09,127199,140650,159886,155190,148691,264912
2022-11-10,127812,140977,160392,155249,148771,265207
2022-11-11,128273,141632,160898,155369,148890,265501
2022-11-12,128810,142043,161151,155606,148970,265736
2022-11-13,129194,142534,161488,155962,149010,265970
2022-11-14,129502,142782,161658,156140,149207,266438
2022-11-15,129964,143110,161742,156317,149324,266496
