dates,doses1_1,doses1_2,doses1_3,doses1_4,doses1_5,doses1_6,doses1_7,doses1_8,doses1_9,doses1_10,doses1_11,doses1_12,doses1_13,doses1_14,doses1_15,doses1_16,doses2_1,doses2_2,doses2_3,doses2_4,doses2_5,doses2_6,doses2_7,doses2_8,doses2_9,doses2_10,doses2_11,doses2_12,doses2_13,doses2_14,doses2_15,doses2_16,doses3_1,doses3_2,doses3_3,doses3_4,doses3_5,doses3_6,doses3_7,doses3_8,doses3_9,doses3_10,doses3_11,doses3_12,doses3_13,doses3_14,doses3_15,doses3_16,doses4_1,doses4_2,doses4_3,doses4_4,doses4_5,doses4_6,doses4_7,doses4_8,doses4_9,doses4_10,doses4_11,doses4_12,doses4_13,doses4_14,doses4_15,doses4_16
2021-02-19,0,0,0,0,2,6,2,3,3,4,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-20,0,0,0,0,7,20,8,10,13,13,11,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-21,0,0,0,1,14,28,19,20,18,20,20,14,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-22,0,0,0,5,70,95,84,79,45,70,63,45,27,18,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-23,0,0,0,12,122,165,137,108,71,95,99,79,47,22,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-24,0,0,0,19,218,295,231,184,138,189,178,151,100,50,22,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-25,0,0,0,28,309,475,371,290,246,304,296,264,189,74,28,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-26,0,0,0,42,433,687,566,467,417,468,474,442,319,114,42,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-27,0,0,0,53,530,864,749,622,569,604,601,572,419,162,57,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-28,0,0,0,61,596,948,831,732,669,717,692,660,485,197,78,31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-01,0,0,0,70,695,1098,984,899,796,902,841,826,608,252,97,36,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-02,0,1,0,89,796,1233,1126,1039,961,1066,1025,1016,766,313,111,44,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-03,0,1,0,105,934,1425,1317,1211,1159,1271,1283,1279,959,424,139,59,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-04,0,1,0,133,1050,1608,1486,1353,1318,1443,1485,1473,1126,490,164,68,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-05,0,1,0,155,1148,1737,1644,1475,1437,1567,1629,1611,1257,547,193,74,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-06,0,1,0,163,1187,1809,1702,1530,1503,1635,1703,1686,1312,570,199,75,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2021-03-07,0,1,0,176,1222,1862,1768,1579,1545,1685,1755,1743,1362,605,208,75,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2021-03-08,0,1,0,189,1283,1990,1872,1689,1660,1797,1901,1876,1457,642,222,79,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
